Trait,Video,Value
extraversion,J4GQm9j0JZ0.003.mp4,0.5233644859813085
extraversion,zEyRyTnIw5I.005.mp4,0.3457943925233645
extraversion,nskJh7v6v1U.004.mp4,0.25233644859813087
extraversion,6wHQsN5g2RM.000.mp4,0.4579439252336449
extraversion,dQOeQYWIgm8.000.mp4,0.6074766355140188
extraversion,eHcRre1YsNA.000.mp4,0.19626168224299068
extraversion,vZpneJlniAE.005.mp4,0.4205607476635514
extraversion,oANKg9_grdA.004.mp4,0.4299065420560748
extraversion,VuadgOz6T7s.000.mp4,0.22429906542056074
extraversion,7nhJXn9PI0I.001.mp4,0.17757009345794392
extraversion,tEQEKN07KgQ.001.mp4,0.20560747663551404
extraversion,I5x9T9ftW18.005.mp4,0.663551401869159
extraversion,dh6iOU2RtTA.003.mp4,0.6074766355140188
extraversion,gsleSGEZHAs.004.mp4,0.37383177570093457
extraversion,vhugKRUnd-c.001.mp4,0.4112149532710281
extraversion,kn6I8LdQFN0.004.mp4,0.18691588785046728
extraversion,M5_x5J-H2I0.003.mp4,0.4672897196261683
extraversion,w_ExyXsnw2A.000.mp4,0.4299065420560748
extraversion,DnTtbAR_Qyw.004.mp4,0.6542056074766356
extraversion,rIHcq2E67Nc.005.mp4,0.6355140186915887
extraversion,De4i7-FX9Og.004.mp4,0.663551401869159
extraversion,cA43Gfcg0QA.000.mp4,0.1588785046728972
extraversion,pZxqWp0e-Ik.000.mp4,0.24299065420560748
extraversion,D3AomvNhR1k.003.mp4,0.4953271028037384
extraversion,Fi1ILrwQpSY.003.mp4,0.4672897196261683
extraversion,Xfmu-7JuDGg.002.mp4,0.2710280373831776
extraversion,YzNbGMNr3z0.001.mp4,0.6261682242990655
extraversion,aFVFvJNnFt0.000.mp4,0.28037383177570097
extraversion,cgT-3CHBmKs.000.mp4,0.24299065420560748
extraversion,P_wDFLJnW-o.004.mp4,0.2710280373831776
extraversion,t0_DAgeU4nM.002.mp4,0.4299065420560748
extraversion,TTuysItuSdo.004.mp4,0.4299065420560748
extraversion,nUbhRInpVbA.004.mp4,0.38317757009345793
extraversion,kL-CeaXG9jM.004.mp4,0.39252336448598135
extraversion,Znixev2a1AI.000.mp4,0.4299065420560748
extraversion,zNHM8iNyTO4.005.mp4,0.4205607476635514
extraversion,zFVjcb45pjI.002.mp4,0.29906542056074764
extraversion,0n2vWTs6XwA.001.mp4,0.2897196261682243
extraversion,FoWuHvikyqU.004.mp4,0.5420560747663552
extraversion,6CRet5sD6xI.003.mp4,0.19626168224299068
extraversion,7s3itKIXww0.002.mp4,0.4018691588785047
extraversion,X7S71Som15M.002.mp4,0.4579439252336449
extraversion,RbX4q4KceVk.004.mp4,0.4579439252336449
extraversion,ySEeioc339E.004.mp4,0.47663551401869164
extraversion,54TGLGvIm_8.003.mp4,0.6448598130841123
extraversion,cLaZxEf1nE4.001.mp4,0.4392523364485981
extraversion,On2c_8sU8Vw.002.mp4,0.5327102803738318
extraversion,rqfvIjzegpI.000.mp4,0.8411214953271028
extraversion,kDJigDGDJTo.003.mp4,0.5233644859813085
extraversion,1hpZ2ecWqtI.002.mp4,0.5700934579439253
extraversion,9yZEb6bdxNY.000.mp4,0.7102803738317757
extraversion,f0LnGz5Z6kA.002.mp4,0.5981308411214954
extraversion,ASDpn9yOYAo.002.mp4,0.5233644859813085
extraversion,--Ymqszjv54.001.mp4,0.5514018691588786
extraversion,Q43qO4HC6mA.000.mp4,0.4485981308411215
extraversion,HH03EXo0TB0.004.mp4,0.4672897196261683
extraversion,8PXQ_5tUv74.001.mp4,0.5140186915887851
extraversion,eFzN_frNW8g.002.mp4,0.47663551401869164
extraversion,nR0h3WFbPfA.004.mp4,0.5514018691588786
extraversion,p6UMx8dwHZQ.000.mp4,0.4392523364485981
extraversion,jq1dLOVUQJA.000.mp4,0.7663551401869159
extraversion,w989xx44UQI.003.mp4,0.6168224299065421
extraversion,6TkMavTyimI.005.mp4,0.39252336448598135
extraversion,0hWbtuRVUgM.001.mp4,0.5420560747663552
extraversion,ax8wm9K41og.000.mp4,0.4392523364485981
extraversion,eXtskPoi58A.000.mp4,0.663551401869159
extraversion,7wsksuXYoMY.001.mp4,0.6261682242990655
extraversion,-9BZ8A9U7TE.004.mp4,0.5046728971962617
extraversion,alucqviYJFE.003.mp4,0.4112149532710281
extraversion,ZO5JoyVTat8.005.mp4,0.38317757009345793
extraversion,5f6s8cwA7WQ.005.mp4,0.663551401869159
extraversion,59Smv7wl--w.005.mp4,0.13084112149532712
extraversion,9o10YrQykMk.000.mp4,0.588785046728972
extraversion,Fz1BcPpjNXY.001.mp4,0.29906542056074764
extraversion,KLY518hfGhU.001.mp4,0.6074766355140188
extraversion,yOzHZOg95Ug.005.mp4,0.10280373831775697
extraversion,nOFHZ_s7Et4.001.mp4,0.6542056074766356
extraversion,U22Jy0m5xSQ.005.mp4,0.6261682242990655
extraversion,YGrCXe2-fVk.004.mp4,0.6728971962616823
extraversion,T4eZ81aJwJI.003.mp4,0.39252336448598135
extraversion,3JzvXA-Zfbs.002.mp4,0.30841121495327106
extraversion,cFGjJg-2zOk.002.mp4,0.7196261682242993
extraversion,3AyjQQYmqU4.000.mp4,0.4205607476635514
extraversion,F0VbEO_0Ybc.000.mp4,0.39252336448598135
extraversion,41NNb7cucVo.002.mp4,0.5140186915887851
extraversion,Ay7bZ7Sgx9Q.001.mp4,0.4205607476635514
extraversion,Hklc55y7vUI.000.mp4,0.30841121495327106
extraversion,40rn4A64Bdk.001.mp4,0.4205607476635514
extraversion,YzcZY1mUZfc.001.mp4,0.7289719626168225
extraversion,za14O68VN3E.001.mp4,0.2710280373831776
extraversion,LBrmHHzyIiY.001.mp4,0.5140186915887851
extraversion,rvB9DYAKHpk.001.mp4,0.33644859813084116
extraversion,hIFNZ_ycngg.002.mp4,0.37383177570093457
extraversion,TNtcyfM9jak.003.mp4,0.5607476635514019
extraversion,PRplbrM70sg.001.mp4,0.5981308411214954
extraversion,AVLEr0sYFhs.000.mp4,0.3271028037383178
extraversion,WD1WsbooU2w.001.mp4,0.29906542056074764
extraversion,tcmYlyeqwuI.004.mp4,0.4579439252336449
extraversion,FZYN9ZFngFM.001.mp4,0.4018691588785047
extraversion,c7tczvW3_dQ.000.mp4,0.38317757009345793
extraversion,eOUVFTqPeGk.002.mp4,0.7009345794392524
extraversion,3WmWJ1lNy-U.001.mp4,0.4485981308411215
extraversion,HPEemWelY1E.000.mp4,0.6074766355140188
extraversion,U9cidDFDTQE.001.mp4,0.25233644859813087
extraversion,OMHlfDF99Mw.004.mp4,0.4205607476635514
extraversion,d4iSwRMV0bA.002.mp4,0.35514018691588783
extraversion,CLGJCzz6tIU.001.mp4,0.7196261682242993
extraversion,sBw7VHQ74SY.005.mp4,0.5233644859813085
extraversion,NpiglwrZzsA.004.mp4,0.2710280373831776
extraversion,puLXzqUvm_U.003.mp4,0.30841121495327106
extraversion,-awAu11kBZ0.000.mp4,0.4485981308411215
extraversion,iJGHwoJKEpA.002.mp4,0.06542056074766356
extraversion,62ngcaBjRCY.005.mp4,0.5700934579439253
extraversion,TD2jIXMD-SM.001.mp4,0.37383177570093457
extraversion,2TMl5EMrdVI.002.mp4,0.36448598130841126
extraversion,1pm5uoU85FI.003.mp4,0.4392523364485981
extraversion,rUGAiuYHNgE.000.mp4,0.33644859813084116
extraversion,WuHLxhCSnGs.004.mp4,0.2897196261682243
extraversion,Lt89YrQHF_w.002.mp4,0.5140186915887851
extraversion,mY1ZTvNVkSA.002.mp4,0.7196261682242993
extraversion,orlXEgAepGo.003.mp4,0.4205607476635514
extraversion,LLP-oZfo8oE.002.mp4,0.2149532710280374
extraversion,UvX6ctu2ObM.002.mp4,0.2710280373831776
extraversion,2DZb5yIc6Fg.001.mp4,0.08411214953271029
extraversion,P0ZzjnS8E24.000.mp4,0.6448598130841123
extraversion,F5kL7RWS_f0.000.mp4,0.12149532710280371
extraversion,y1e8xPAaL9k.002.mp4,0.4392523364485981
extraversion,YjXUMygVw7U.002.mp4,0.4205607476635514
extraversion,3LAaFUSGvsU.004.mp4,0.48598130841121495
extraversion,cOirMOCpdo8.003.mp4,0.4205607476635514
extraversion,gkKHdsF6du4.003.mp4,0.6168224299065421
extraversion,l0qApUuiDjo.005.mp4,0.36448598130841126
extraversion,P0a209IS614.005.mp4,0.4205607476635514
extraversion,KJ643kfjqLY.001.mp4,0.588785046728972
extraversion,jPpZkVzQywk.001.mp4,0.35514018691588783
extraversion,4CSV8L7aVik.000.mp4,0.6168224299065421
extraversion,AS8snUf9eX0.000.mp4,0.35514018691588783
extraversion,L_gmlaz-0s4.003.mp4,0.5233644859813085
extraversion,pQy4omHIf7o.000.mp4,0.4112149532710281
extraversion,dVbo9Ftlyl0.004.mp4,0.4299065420560748
extraversion,vQEZ5KF9I4E.003.mp4,0.30841121495327106
extraversion,1uCO2d0pFg0.000.mp4,0.4485981308411215
extraversion,w989xx44UQI.000.mp4,0.5981308411214954
extraversion,sNs4yCA11wk.002.mp4,0.7009345794392524
extraversion,t1PKNXE-IiM.005.mp4,0.6728971962616823
extraversion,RlUuWWWFrhM.005.mp4,0.4299065420560748
extraversion,p-V78q8dtYo.005.mp4,0.17757009345794392
extraversion,IWAT58l2Chg.001.mp4,0.5607476635514019
extraversion,sOkGz6gEmGk.003.mp4,0.6355140186915887
extraversion,8Yo-27O0P38.003.mp4,0.6728971962616823
extraversion,pEYFpmjwKC0.004.mp4,0.30841121495327106
extraversion,fL8VYpOTLSM.001.mp4,0.39252336448598135
